total_bills,paid_bills,status,location
210464000000,130000000000.0,False,N/A
130121000000,130000000000.0,False,N/A
130121000000,130000000000.0,False,N/A
130121000000,130000000000.0,False,N/A
130111000000,130000000000.0,False,N/A
130122000000,130000000000.0,False,N/A
130124000000,130000000000.0,False,N/A
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,130000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
130000000000,210000000000.0,True,1
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
211000000000,210000000000.0,True,107
211000000000,210000000000.0,True,107
211000000000,210000000000.0,True,107
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,210000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,211000000000.0,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
210000000000,,True,16
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
211000000000,,True,107
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
210000000000,,True,16
